common_name,scientific_name,max_size,temp_low,temp_high,ph_low,ph_high,min_tank,aggressive,schooling,min_group,tank_level,lifespan,image_link
Acara - Electric Blue,Andinoacara pulcher,7,68,82,6,7.5,30,FALSE,FALSE,1,mid-bottom,10,https://iili.io/24aJV9.jpg
Angelfish - Albino,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWlOG.png
Angelfish - Black Lace,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWEx4.png
Angelfish - Blushing,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWGWl.png
Angelfish - Gold,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gW0bf.png
Angelfish - Koi,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWMs2.png
Angelfish - Marble,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWWfS.png
Angelfish - Zebra,Pterophyllum scalare,6,75,84,6,7.5,55,TRUE,FALSE,1,mid,10,https://iili.io/2gWX07.png
Barb - Black Ruby,Puntius nigrofasciatus,2.5,72,79,6,6.5,20,FALSE,TRUE,6,mid-bottom,5,https://iili.io/24lOP9.png
Barb - Cherry,Puntius titteya,2,73,81,6,8,20,FALSE,TRUE,6,mid-bottom,5,https://iili.io/24aqHx.jpg
Barb - Gold/Chinese,Puntius semifasciolatus,3,64,75,6,8,20,FALSE,TRUE,6,mid-bottom,5,https://iili.io/24aFcb.jpg
Barb - Odessa,Pethia padamya,2,75,78,6,7.5,20,FALSE,TRUE,6,mid,5,https://iili.io/24aKSj.jpg
Barb - Rosy,Puntius conchonius,6,64,72,6.5,6.5,30,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24a3Ku.jpg
Barb - Tiger,Puntigrus tetrazona,3,68,79,6.5,6.5,20,TRUE,TRUE,6,mid,6,https://iili.io/24aRUJ.jpg
Betta,Betta splendens,3,75,80,6,7.5,5,TRUE,FALSE,1,top-mid,3,https://iili.io/24aBAQ.jpg
Bichir - Albino Senegal,Polypterus senegalus,12,77,80,6.5,7.5,90,TRUE,FALSE,1,bottom,10,https://iili.io/24azV1.jpg
Bichir - Senegal/Dinosaur/Gray,Polypterus senegalus,12,77,80,6.5,7.5,90,TRUE,FALSE,1,bottom,10,https://iili.io/24aCNV.jpg
Corydora - Bronze/Green,Corydoras aeneus,2.5,72,78,6,8,10,FALSE,TRUE,5,bottom,3,https://iili.io/24axoP.jpg
Corydora - Julii,Corydoras julii,2.5,73,79,6.5,7.8,10,FALSE,TRUE,5,bottom,10,https://iili.io/24aIiF.jpg
Corydora - Panda,Corydoras panda,2,68,77,6,7,10,FALSE,TRUE,5,bottom,10,https://iili.io/24auKg.jpg
Corydora - Peppered,Corydoras paleatus,3,72,78,6,7,15,FALSE,TRUE,5,bottom,5,https://iili.io/24aAla.jpg
Corydora - Pygmy,Corydoras pygmaeus,1,72,79,6,8,10,FALSE,TRUE,5,bottom,3,https://iili.io/24anDB.jpg
Danio - Blue,Danio kerri,2,64,74,6.5,7,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24aEiX.png
Danio - Giant,Devario aequipinnatus,4,64,74,6.5,7,30,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24aYRR.jpg
Danio - Gold,Danio rerio,2,64,74,6.5,7,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24a7Hv.jpg
Danio - Leopard,Danio frankei,2,70,78,7,7.8,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24aaNp.jpg
Danio - Pearl,Danio albolineatus,2,64,74,6.5,7,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24a0xI.png
Danio - Zebra,Danio rerio,2,70,78,6.5,7,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24acDN.jpg
Danio - Celestial Pearl,Danio margaritatus,1,72,79,6.5,7.5,10,FALSE,TRUE,6,md-bottom,3,https://iili.io/24a1Vt.png
Eartheater - Geophagus Altifrons,Geophagus altifrons,9,70,82,5,8,100,FALSE,TRUE,4,mid-bottom,10,https://iili.io/24aVls.jpg
Eartheater - Pearl Cichlid,Geophagus brasiliensis,10,70,82,5,8,100,FALSE,TRUE,4,mid-bottom,10,https://iili.io/24aMfn.jpg
Eartheater - Red Head Tapajos,Geophagus sp.,6,70,82,5,8,75,FALSE,TRUE,4,mid-bottom,10,https://iili.io/24aWUG.jpg
Eartheater - Red Hump,Geophagus steindachneri,6,70,82,5,8,75,FALSE,TRUE,4,mid-bottom,10,https://iili.io/24ahJf.png
Goldfish - Common,Carassius auratus,12,65,78,6.5,7.5,30,FALSE,FALSE,1,top-mid-bottom,10,https://iili.io/24awOl.jpg
Goldfish - Black Moor,Carassius auratus,8,65,78,6.5,7.5,20,FALSE,FALSE,1,top-mid-bottom,10,https://iili.io/24ajR4.jpg
Goldfish - Fantail,Carassius auratus,8,65,78,6.5,7.5,20,FALSE,FALSE,1,top-mid-bottom,10,https://iili.io/24aexS.png
Gourami - Banded,Trichogaster fasciata,4,70,82,6,7.5,20,FALSE,FALSE,1,top-mid,4,https://iili.io/24aNb2.jpg
Gourami - Dwarf,Trichogaster Ialius,2,72,82,6,7.5,5,TRUE,FALSE,1,top-mid,4,https://iili.io/24akW7.jpg
Gourami - Honey,Trichogaster chuna,2,72,82,6,7.5,30,FALSE,TRUE,3,top-mid,5,https://iili.io/24aSfe.png
Gourami - Kissing,Helostoma temminkii,12,72,82,6,8,75,TRUE,FALSE,1,top-mid,7,https://iili.io/24avs9.jpg
Gourami - Pearl,Trichopodus leerii,4.5,77,82,5.5,7.5,40,FALSE,TRUE,3,top-mid,4,https://iili.io/24aU0u.jpg
Gourami - Three Spot,Trichopodus trichopterus,5,72,82,5.5,8.5,30,TRUE,FALSE,1,top-mid,5,https://iili.io/24agUb.jpg
Guppy - Fancy,Poecilia reticulata,1.5,72,79,6.7,8.5,5,FALSE,TRUE,3,top-mid,2,https://iili.io/24a65x.png
Guppy - Endler,Poecilia wingei,1,72,79,6.7,8.5,5,FALSE,TRUE,3,top-mid,2,https://iili.io/24a4Jj.png
Hatchetfish - Marbled,Carnegiella strigata,1,75,82,5,8,10,FALSE,TRUE,6,top,5,https://iili.io/24aPOQ.jpg
Hatchetfish - Silver,Gasteropelecus sternicla,2.5,74,81,6,7,20,FALSE,TRUE,6,top,5,https://iili.io/24aibV.jpg
Hatchetfish - Spotted,Gasteropelecus maculatus,2,72,82,6,7,10,FALSE,TRUE,6,top,5,https://iili.io/24aLzB.jpg
Jack Dempsey,Rocio octofasciata,10,75,80,6,8,55,TRUE,FALSE,1,mid-bottom,10,https://iili.io/24aZs1.png
Loach - Kuhli,Pangio kuhlii,4,73,86,5.5,6.5,20,FALSE,TRUE,4,bottom,10,https://iili.io/24aQWP.jpg
Loach - Yoyo,Botia lohachata,4,72,86,6,7.5,30,TRUE,TRUE,4,bottom,8,https://iili.io/24ab0g.jpg
Minnow - White Cloud Mountain,Tanichthys alboneubes,1.5,64,72,6,8,10,FALSE,TRUE,6,top-mid-bottom,5,https://iili.io/24aDqF.jpg
Molly - Balloon,Poecilia latipinna,3,68,82,7,7.8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24amga.png
Molly - Black,Poecilia sphenops,3,68,82,7,7.8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24aydJ.jpg
Molly - Dalmation,Poecilia sphenops,4.5,68,82,7,7.8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24c95v.jpg
Molly - Gold Dust,Poecilia sphenops,5,68,82,7,8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24cHeR.png
Molly - Lyretail,Poecilia latipinna,5,68,82,7,7.8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24cJbp.png
Molly - Sailfin,Poecilia latipinna,5,68,82,7,7.8,30,FALSE,FALSE,1,top-mid,3,https://iili.io/24c3XI.png
Oscar - Tiger,Astronotus ocellatus,16,74,81,6,8,65,TRUE,FALSE,1,mid,15,https://iili.io/24cq1n.png
Oscar - Albino,Astronotus ocellatus,16,74,81,6,8,65,TRUE,FALSE,1,mid,15,https://iili.io/241j49.jpg
